"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"1773","theory","名詞","理論、学説、～論","Newton's theory of gravity is of great importance to science.","ニュートンの重力論は科学にとって非常に重要である。","/θí:əri/","basis, assumption","","3"
"1774","commit","動詞","～心身をささげる、全力を傾ける; ～を犯す","I need you to commit to the project so we can go ahead as soon as possible.","できるだけ早く先に進めるよう、あなたはプロジェクトに心身をささげなければならない。","/kəmít/","perform, do","","4"
"1775","adjustment","名詞","調整、調節; 適応、順応","Even a small adjustment of this volume knob can make the music much louder.","この音量のダイヤルをほんの少し調節するだけでも音楽を十分に大きくできる。","/ədʒʌ́stmənt/","arrangement, regulation","","4"
"1776","search","動詞","調べる、捜す、捜索する","The airport officials searched through the suspicious man's suitcase.","空港職員は怪しい男のスーツケースをくまなく調べた。","/sə́:rtʃ/","look through, examine, check","","3"
"1777","appreciate","動詞","～を感謝する、ありがたく思う; ～の良さを知る","I appreciate your help at the meeting.","会議でのお力添えに感謝いたします。","/əprí:ʃièit/","admire, respect, value; understand","","4"
"1778","argue","動詞","言い争う、口論する; 議論する; 主張する","Instead of arguing now, you can discuss the problem together later.","今言い争うより、後で一緒に問題について話し合おう。","/ɑ́:rgju:/","quarrel; dispute, challenge; assert, plead","","3"
"1779","dose","名詞","服用量、(薬の)1服","They decided to double the dose of his medication as his condition was still bad.","彼の容体が依然として悪いことから、彼らは投薬量を倍にした。","/dóus/","","","7"
"1780","integral","形容詞","必要不可欠な、必須の; 一体化された","Efficient delivery was an integral part of the company's distribution plan.","その会社の配送計画において、効率の良い配達は必須の要素だった。","/íntigrəl/","essential, native","","8"
"1781","origin","名詞","起源、由来; 血筋、原産","There is no definitive theory on the origin of life.","生命の起源については、決定的な理論は存在しない。","/ɔ́ridʒin/","ancestry, root, source","","4"
"1782","emphasis","名詞","強調、重視","He gave emphasis to the words 'on time' so that they understood their importance.","彼らがその重要性を理解するように、彼は「時間通りに」という語句を強調した。","/émfəsis/","stress","","4"
"1783","decay","名詞/動詞","腐敗、朽ちること / 腐る、腐敗する、朽ちる","Even though the old castle was allowed to fall into decay, it still was a majestic sight.","古城は朽ちるに任されたままだったとはいえ、荘厳なたたずまいを見せていた。","/dikéi/","decline, deterioration; decompose, disintegrate","","4"
"1784","height","名詞","高さ、背丈; 高度、海抜","The nation with the greatest average male height is the Netherlands.","男性の平均身長が最も高い国はオランダである。","/háit/","altitude, elevation, peak","","2"
"1785","explanatory","形容詞","説明的な、解説の、注釈的な","There are explanatory notes for each question at the back of the textbook.","教科書の後ろには各問題の解説文が載っている。","/iksplǽnətɔ̀:ri/","expository, illustrative, informative","","8"
"1786","annual","形容詞","年1回の、例年の、毎年の、年次の","The annual meeting did not go smoothly because the CEO was absent.","CEOが不在だったため、年次大会は円滑に行われなかった。","/ǽnjuəl/","yearly","","4"
"1787","imitate","動詞","～をまねる、見習う; ～を再現する、～の模造である","He was deeply admired and many people tried to imitate the way he dressed.","彼は深い称賛を受けており、多くの人々がその着こなしをまねしようとした。","/ímətèit/","copy, mimic, duplicate","","4"
"1788","illuminate","動詞","～を照らす、明るくする","Lighted candles are placed along the steps to illuminate the path at night.","夜、道を明るくするために階段に沿ってロウソクが置かれている。","/ilú:mənèit/","","","7"
"1789","emit","動詞","(音など)を出す、発する、放出する","The bird will emit a loud screech when it sees a predator.","鳥は捕食動物を見ると甲高い大きな鳴き声を出す。","/imít/","cast, give out, irradiate","","8"
"1790","declaration","名詞","宣言、布告; 公言、意思表明","The two warring countries agreed to a temporary declaration of peace for two days.","交戦しているその2カ国は2日間の一時的な和平宣言に合意した。","/dèkləréiʃən/","","","5"
"1791","inherently","副詞","本質的に、本来、先天的に","A police officer has an inherently dangerous job.","警察官は本質的に危険な職業に就いている。","/inhíərəntli/","innately, naturally","","10"
"1792","undertake","動詞","～を引き受ける、始める、着手する","Don't undertake strenuous exercise for a few hours after a meal to allow food to digest.","食べ物を消化させるには、食事後数時間は激しい運動を行わないこと。","/ʌ̀ndərtéik/","","","5"
"1793","convey","動詞","～を伝える、伝達する; ～を運ぶ、運搬する","The teacher tried to convey the complex idea to his students.","先生は生徒たちにその複雑な考え方を伝えようとした。","/kərvéi/","carry, transport; communicate, tell","","5"
"1794","remedy","名詞","解決策、改善策; 治療法、治療薬","Unemployment is a difficult issue with no easy remedy.","失業は難しい問題で簡単な救済策はない。","/rémədi/","","","5"
"1795","servant","名詞","召し使い、使用人; 公務員、職員","The servants were dismissed by their master after serving the tea.","お茶を出した後、使用人たちは主人に退出させられた。","/sə́:rvənt/","helper, steward","","2"
"1796","crisis","名詞","危機、重大局面","The energy crisis can be solved with investment into new renewable energies.","エネルギー危機は、新しい再生可能エネルギーに投資することで解決できる。","/kráisis/","emergency","","4"
"1797","reconstruct","動詞","～を再建する、復興する、立て直す","After the earthquake, a lot of buildings needed to be reconstructed.","地震の後、多くの建物を再建する必要があった。","/rì:kənstrʌ́kt/","rebuild","","8"
"1798","wheel","名詞","車輪、ホイール","Bicycles have two wheels, but a unicycle has only one.","自転車は車輪が2つあるが、一輪車は1つしかない。","/hwí:l/","","","2"
"1799","extract","動詞","～を引き抜く、抜き取る","It took the dentist nearly an hour to extract the wisdom tooth.","歯科医が親知らずを抜くのに1時間近くかかった。","/ikstrǽkt/","pull out","","6"
"1800","odds","名詞","見込み、公算; 困難、障害","The odds of his winning the game are very small.","彼が試合に勝つ可能性は非常に低い。","/ɔ́dz/","chance, probability","","9"
"1801","likewise","副詞","同じく、同じように、同様に; …もまた","By sharing his story, the prisoner hopes to discourage young men from behaving likewise.","その受刑者は、自分の半生を伝えることによって若者たちが彼と同様の行動をすることを思いとどまらせたいと思っている。","/láikwaiz/","similarly; also","","5"
"1802","cottage","名詞","(田舎にある)小さな家、田舎家; 小別荘、コテージ","I would love to retire and live in a small cottage in the countryside.","ぜひとも引退して田舎の小さな小屋で暮らしたい。","/kɔ́tidʒ/","cabin, lodge","","4"
"1803","obsolete","形容詞","廃れた、使われなくなった; 古い、時代遅れの","Mini discs are obsolete and are no longer being produced.","ミニディスクは廃れて、もはや生産されていない。","/ɔ̀bsəlí:t/","out of date, demoded, outdated","","9"
"1804","localise","動詞","～を一地域にとどめる、特定の場所に限定する","The school tried to localise the virus by keeping infected students away from everyone else.","学校は感染した生徒を他の生徒から隔離して、ウイルスの広がりを抑えようとした。","/lóukəlàiz/","","","9"
"1805","Arctic","名詞/形容詞","北極地方; (the A-)北極(圏) / 北極地方の、北極(圏)の; 極寒の","Polar bears often roam the Arctic tundra.","ホッキョクグマは北極地方のツンドラをうろつくことが多い。","/ɑ́:rktik/","","Antarctic","7"
"1806","obstacle","名詞","障害、支障、邪魔","Low motivation is the biggest obstacle to learning a new language.","やる気のなさというのは、新しい言語を学ぶときの最大の障害である。","/ɔ́bstəkl/","hindrance, interference, obstruction","","6"
"1807","retreat","名詞/動詞","退却、避難 / 退却する、撤退する; 引退する","The army had to retreat after taking huge losses.","甚大な損害を被り、軍は退却を余儀なくされた。","/ritrí:t/","recede, retire, withdraw","","5"
"1808","remnant","名詞","残り、残余、残存者","The vultures picked at the remnants of the deer carcass.","ハゲワシが鹿の死骸の残りをついばんだ。","/rémnənt/","leftovers, remainder, remains, residue","","9"
"1809","innovation","名詞","革新、刷新; 新しい手法、新機軸、新技術","Internet technology has stalled recently and is waiting for a new innovation.","インターネット技術は近年失速しつつあり、さらなる革新が待たれている。","/ìnəvéiʃən/","invention, modernisation","","6"
"1810","radical","名詞/形容詞","急進論者、過激派 / 過激な; 根本的な、徹底的な","The more radical part of the union wanted to strike.","労組内のさらに過激な一部はストライキを希望した。","/rǽdikəl/","crazy, extremist, revolutionist; drastic","","4"
"1811","scent","名詞","におい、香り","The scent of her perfume was overpowering.","彼女の香水の香りは強烈だった。","/sént/","odour, smell","","4"
"1812","globalisation","名詞","グローバル化、世界標準化","Globalisation has made English an important language for communication between cultures.","グローバル化により、英語は文化間のコミュニケーションのための重要な言語となった。","/glòubəlaizéiʃən/","","nationalisation","N/A"
"1813","sedentary","形容詞","座りがちの、座ってできる; 定住の","His sedentary lifestyle contributed to his ill health.","座りっぱなしの生活が彼の健康障害の原因であった。","/sédntəri/","","","12"
"1814","presumably","副詞","たぶん、おそらく、察するに","Having won the lottery, presumably they can buy a large house.","宝くじに当たったから、たぶん彼らは大きな家を買えるだろう。","/prizjú:məbli/","apparently, seemingly, supposedly","","7"
"1815","audience","名詞","聴衆、観客; 視聴者","The play's audience greatly enjoyed everyone's performance.","演劇の観客は、キャスト全員の演技を大いに楽しんだ。","/ɔ́:diəns/","","","2"
"1816","accuse","動詞","～を非難する、責める; ～を起訴する、訴える","The lawyer accused him of lying in court.","弁護士は裁判でうそをついたと言って彼を非難した。","/əkjú:z/","blame, condemn, sue","defend","4"
"1817","proceed","動詞","進む、向かう; 続ける; 実施される","Airport security asked him to proceed through the metal detector.","空港警備員は男に金属探知機をくぐって進むように言った。","/prəsí:d/","advance, go, progress, go ahead","","4"
"1818","basement","名詞","地階、地下室","Our basement under the house is mostly used for storage.","家の地下室はほぼ物置として使われている。","/béismənt/","cellar","","3"
"1819","effect","名詞/動詞","結果、影響 / (結果として)～をもたらす、生じさせる","The effect of me eating too many calories is that I put on weight.","カロリーを取り過ぎることの影響は、体重が増えることだ。","/ifékt, əfékt/","outcome, impact, influence","","2"
"1820","vanity","名詞","虚栄心、うぬぼれ","Constantly staring at yourself in the mirror is a sign of vanity.","鏡に映る自分をしょっちゅう見つめるのはうぬぼれの表れだ。","/vǽnəti/","arrogance, pride","","6"
"1821","permanent","形容詞","永続的な、永久的な; 常設の、常置の","It's important not to make permanent decisions on temporary emotions.","一時の感情によって恒久的な決断をしないことが重要だ。","/pə́:rmənənt/","eternal, everlasting, constant","temporary","3"
"1822","definition","名詞","定義、定義付け; (写真などの)鮮明度、精細度","Use a dictionary to find the definition of words you do not understand.","分からない単語の定義は、辞書を引いて調べること。","/dèfəníʃən/","description","","4"
"1823","qualification","名詞","資格、適正、技能; 資格を取ること、出場権","She received her nursing qualification after completing the final exam.","最終試験を完遂し、彼女は看護師資格を得た。","/kwɔ̀ləfikéiʃən/","adequacy, capability, competence","","6"
"1824","operate","動詞","手術をする; ～を操作する、運転する; ～を経営する","His appendix had burst, and the surgeon needed to operate immediately.","彼の盲腸が破裂したので、外科医は直ちに手術をしなければならなかった。","/ɔ́pərèit/","administer, handle, run, work, function","","3"
"1825","disclose","動詞","～を暴露する、明かす; 見えるようにする","All conflicts of interest must be disclosed in a timely manner.","一切の利益相反は遅延なく開示すべきである。","/disklóuz/","divulge, expose, reveal, unveil","","6"
"1826","ability","名詞","能力、力量; 技量、才能","Her ability to concentrate allowed her to become the best in class.","持ち前の集中力によって彼女はクラスで1番になれた。","/əbíləti/","capacity, talent, competence","","2"
"1827","aggressive","形容詞","活動的な、積極的な; 攻撃的な、威嚇的な","The company had been too cautious and a more aggressive approach was needed.","その会社は慎重になり過ぎていたため、より積極的なアプローチを講じる必要があった。","/əgrésiv/","belligerent, confrontational; ambitious, enterprising, predatory","","5"
"1828","engage","動詞","関与する; (注意など)を引く、引き付ける","As a way to engage with their customers, they started advertising on TV.","顧客と関わり合う方法として、彼らはテレビでの広告を始めた。","/ingéidʒ/","involve, immerse, participate","","4"
"1829","facility","名詞","施設、設備","The medical facility finally opened for all patients.","その医療施設はついに全ての患者向けに開院した。","/fəsíləti/","complex, establishment, installation","","5"
"1830","spectrum","名詞","変動範囲、領域、スペクトル","The far left and far right have ideas representing opposite ends of the political spectrum.","極左と極右は、政治的スペクトル上で対極をなす意見を持っている。","/spéktrəm/","range, diapason","","9"
"1831","produce","動詞/名詞","～を生産する、製造する; ～を創作する / 農産物","The barren land could produce little food.","その不毛な土地では食べ物がほとんど生産できなかった。","/prədju:s/ (動), /prɔ́dju:s/ (名)","create, generate, make","consume","2"
"1832","transformation","名詞","変形、変化、変容、転換","His transformation from boy to man seemed to happen over the summer.","彼はどうやら夏の間に少年から大人の男性に成長したらしい。","/træ̀nsfərméiʃən/","","","6"
"1833","enlighten","動詞","～を啓蒙する、啓発する; ～に教える、知らせる","My university professor wrote books to enlighten her readers as well as for her own enjoyment.","私の大学の教授は読者の啓蒙と彼女自身の喜びのために書籍を執筆した。","/inlaitn/","civilize; inform, inspire","","9"
"1834","virtue","名詞","長所、利点; 美、美徳","His honesty was one of his greatest virtues.","誠実さは彼の最大の長所の1つである。","/və́:rtʃu:/","goodness","vice","4"
"1835","journey","名詞","旅行、旅; 旅程、行程","It was a long and arduous journey through the jungle.","それは長く厳しいジャングル越えの旅だった。","/dʒə́:rni/","adventure, expedition, trip","","2"
"1836","deny","動詞","～を否定する、否認する","The thief continued to deny he had stolen the money even though the police had proof.","泥棒は、警察が証拠をつかんでいるにもかかわらず、お金を盗んだことを否定し続けた。","/dinái/","decline, refuse, reject","affirm, admit","2"
"1837","exile","動詞/名詞","～を追放する、流刑にする / 追放、流刑; 追放者、流人","Napoleon wasn't executed but exiled to an island after being defeated.","ナポレオンは敗北後、処刑はされなかったが流刑となった。","/éksail/","banish; deportation, expulsion","","7"
"1838","track","名詞/動詞","小道、跡 / ～を追跡する、跡を追う","He was able to track the parcel online from the factory to his home.","彼は小包を工場から自宅までオンラインで追跡できた。","/trǽk/","path; follow, hunt, chase, pursue","","2"
"1839","underlie","動詞","～の根底にある、基盤にある、背後にある","Poverty and social problems underlie much of the crime in today's metropolises.","貧困と社会的な諸問題は、現代の大都市における多くの犯罪の根底にある。","/ʌ̀ndərlái/","","","8"
"1840","amplify","動詞","(音量など)を増幅する; (考えなどを)詳述する","The track's audio was too low, so he tried to amplify it.","その楽曲の音量は小さ過ぎたので、彼はボリュームを上げようとした。","/ǽmpləfài/","boost, develop, enlarge, escalate, magnify","","9"
"1841","overlook","動詞","(景色など)を見渡す; ～を見落とす; (失敗など)を見逃す","He stood on the balcony to overlook his large garden.","彼はバルコニーに立って広い庭を見下ろした。","/òuvərlúk/","disregard, ignore, neglect, miss","","4"
"1842","couple","名詞","恋人同士、カップル; 1組、1対","They had been a couple for five years so they decided to get married.","彼らは恋人となって5年たったので結婚することにした。","/kʌ́pl/","","","2"
"1843","huge","形容詞","巨大な、莫大な; 成功した、有名な","He almost got lost wandering around the huge stately home.","その巨大な大邸宅を徘徊(はいかい)していて、彼は危うく迷子になるところだった。","/hjú:dʒ/","gigantic, massive, enormous, tremendous, immense","","3"
"1844","evacuate","動詞","～を避難させる、疎開させる","The order to evacuate the embassy came as the coup began.","政変の発生により、大使館に避難指示が出た。","/ivǽkjuèit/","vacate, withdraw","","9"
"1845","range","動詞","(～の間で)変動する; 及ぶ; ～を並べる","The price of a new computer ranges from £200 to £2,000.","新しいコンピューターの価格帯は200ポンドから2000ポンドである。","/réindʒ/","","","3"
"1846","possibly","副詞","ひょっとすると、もしかしたら; できる限り","Software engineers are possibly the best-paid workers today.","ソフトウェアエンジニアは、おそらく今日では最も高給を取る労働者である。","/pɔ́səbli/","conceivably, maybe, perhaps","","3"
"1847","compassionate","形容詞","哀れみ深い、情け深い、思いやりある、親切な","Our goal must be to build a compassionate and caring society.","我々の目標は、思いやりのある、面倒見のよい社会を作ることであるべきだ。","/kəmpǽʃənət/","benevolent, humane, kind","","9"
"1848","attention","名詞","注目、注意; 配慮、考慮","Nursery teachers know that small children usually have a short attention span.","幼児保育士は、幼い子どもはたいてい集中力が長く持たないことを知っている。","/əténʃən/","awareness","","2"
"1849","nuisance","名詞","厄介な人(もの・状況)、迷惑、妨害","The public transport strike was a nuisance to many people.","公共交通機関のストライキは多くの人々にとって迷惑だった。","/njú:sns/","annoyance, bother, pain, menace","","6"
"1850","conventional","形容詞","従来の、慣習的な、伝統の","We need to let go of our conventional ideas and try something new and different.","私たちは従来の考え方を捨てて、新しくて違うものに挑戦する必要がある。","/kənvénʃənl/","customary","unconventional","4"
"1851","expedition","名詞","探検、調査旅行、遠征","The expedition to the North Pole ran into trouble when supplies ran low.","北極への探検は、補給品が少なくなってきたときに困難な状況になった。","/èkspədíʃən/","journey","","5"
"1852","auditory","形容詞","聴覚の、耳の","Newborn babies respond to auditory stimuli before they become able to see.","新生児は目が見えるようになる前に聴覚刺激に反応する。","/ɔ́:ditəri/","","","N/A"
"1853","intellectual","名詞/形容詞","知識人、識者 / 知性の、知能的な; 知的な","She was a public intellectual and thus in great demand by all media outlets.","彼女は著名な知識人であり、そのためあらゆるメディアから引っ張りだこだった。","/ìntəléktʃuəl/","highbrow","mental","4"
"1854","blur","名詞/動詞","不鮮明な見た目 / ぼやける、かすむ; 曖昧になる","He ran so fast he almost looked like a blur.","彼の走りはあまりにも速く、その姿ははっきりと見えなかった。","/blə́:/","cloud, fog, obscure","","8"
"1855","relief","名詞","(不安などの)軽減、除去; 安心、安堵(あんど)","The wind brought some relief from the intense summer heat.","風は、夏の激しい暑さをいくらか緩和した。","/rilí:f/","removal, ease","","3"
"1856","revision","名詞","修正、改正、見直し; (書籍の)改訂版","Constant revision is necessary when writing a thesis.","論文を書く時には、随時見直しが必要だ。","/rivíʒən/","modification, amendment","","8"
"1857","rebellious","形容詞","反抗的な、逆らう; 反乱の、謀反の","He was rebellious at school due to his strict parenting at home.","家で両親が厳格だったため、彼は学校では反抗的だった。","/ribéljəs/","unruly, defiant","","7"
"1858","supportive","形容詞","支える、助けになる、励ます","My mother was very supportive of my acting career.","俳優の道を進む私を母は全力で応援してくれた。","/səpɔ́:rtiv/","corroborative, substantiating, vindicating","","7"
"1859","permission","名詞","許可、認可、承諾","The construction company had special permission to build next to the river.","その建設会社は川沿いでの工事について特別な認可を得ていた。","/pərmíʃən/","authorisation, license, sanction, warrant","","3"
"1860","tentative","形容詞","仮の、とりあえずの、一時的な","The time of the meeting is tentative for now, but we'll fix it on Monday.","会議の日時は現在のところ仮ですが、月曜日に最終決定します。","/téntətiv/","conditional, provisional","","9"
"1861","penetrate","動詞","～に浸透する、染み通る; ～を貫通する; ～に進出する","The cold felt like it penetrated to his bones.","彼の骨の髄まで染み通るような寒さだった。","/pénətrèit/","access, enter, pierce","","6"
"1862","backyard","名詞","裏庭","I cut the grass in the backyard every month.","私は毎月裏庭の草刈りをする。","/bækjɑ́:rd/","","","3"
"1863","hesitation","名詞","ちゅうちょ、ためらい; 口ごもること","Another moment's hesitation and the car would have hit him.","もう一瞬でも長くちゅうちょしていたなら、彼は車にひかれていた。","/hèzətéiʃən/","indecision","","6"
"1864","tear","動詞","～を裂く、引き裂く、破る","Be careful not to tear the contract.","契約書が破れないように気を付けて。","/téə/","","","2"
"1865","image","名詞","画像、肖像、映像; 印象、評判","He downloaded the image from the internet so he had a photo for his presentation.","プレゼンテーションに写真を使うため、彼はその画像をインターネットからダウンロードした。","/ímidʒ/","concept, idea, picture","","2"
"1866","tranquil","形容詞","静かな、穏やかな","The lake was tranquil and an ideal spot to relax.","湖は静かで、リラックスするには最高の場所だった。","/trǽŋkwil/","calm, peaceful, placid, still","","7"
"1867","intact","形容詞","無傷の、損なわれていない; (身体が)完全な、健全な","They were lucky that the house was still intact after the earthquake.","地震で家が壊れなかったことは彼らにとって幸運だった。","/intǽkt/","complete, unscathed, undamaged","","7"
"1868","result","名詞/動詞","結末、結果 / 起因する、起こる","He wasn't born blind, but it was the result of an accident.","彼の目が見えないのは生まれつきではなく、事故の結果だ。","/rizʌ́lt/","outcome","cause","2"
"1869","equal","動詞","～と等しい、同等である、匹敵する","As a salesman he was the best; nobody was his equal.","セールスマンとして彼は1番で、並ぶ者は誰もいなかった。","/í:kwəl/","equivalent, equitable, identical","","2"
"1870","interrogate","動詞","～を尋問する、取り調べる","The police officers interrogated the suspect to find the truth.","真実を探るため、警察官は容疑者を尋問した。","/intérəgèit/","examine, investigate, query, enquire","","9"
"1871","relevant","形容詞","関連する、関係する","The references you provide in an academic paper must be relevant to the topic discussed.","論文で挙げられる参考文献は、取り上げられているテーマと関連していなればならない。","/réləvənt/","pertinent","irrelevant","6"
"1872","exotic","形容詞","外来の、外国の、異国の","The celebrity had bought some exotic animals, such as a tiger and a monkey.","その有名人は、虎や猿などの外来種の動物を数匹購入した。","/igzɔ́tik/","","indigenous, endemic","8"
"1873","flat","形容詞","平らな、でこぼこのない; 単調な、抑揚のない","The land was completely flat without a hill or valley to be seen for miles.","その土地は真っ平らで、何マイル先まで見渡しても丘も谷もなかった。","/flǽt/","boring, exact, flush","","1"
"1874","mind","動詞/名詞","～を気にする、～を嫌がる / 精神; 知能; 意向","I don't mind if you watch TV as you've finished all your homework.","宿題は全部済ませたのだから、テレビを見ても構わないよ。","/máind/","beware; intellect, soul","body","1"
"1875","intermission","名詞","幕あい、(映画などの)休憩時間; 休止、中断","The concert was very long, so there was a short intermission.","コンサートはとても長かったので、途中に短い休憩があった。","/ìntərmíʃən/","break, interval","","9"
"1876","innocence","名詞","無実、無罪; 無邪気","The new evidence confirmed his innocence, and all charges were dropped.","新しい証拠により彼の無実が裏付けられ、起訴が取り下げられた。","/ínəsəns/","faultlessness, impeccability","","7"
"1877","oxygen","名詞","酸素","He couldn't breathe well due to the lack of oxygen at that altitude.","その高度では酸素が薄いため、彼の呼吸は苦しかった。","/ɔ́ksidʒən/","","","4"
"1878","accessible","形容詞","(場所が)行きやすい; (情報などが)入手しやすい","The entrance is accessible via the main road.","入り口は幹線道路から入りやすくなっている。","/æksésəbl/","available, approachable","inaccessible, unapproachable","6"
"1879","exist","動詞","存在する、実在する","He was a sceptic so he didn't believe that ghosts exist.","彼は疑い深いので幽霊が存在することを信じなかった。","/igzíst/","","","2"
"1880","maternal","形容詞","母らしい、母性の、母としての; 母方の","When looking at new born babies, women often feel maternal instincts.","新生児を見ていると、女性はしばしば母性本能が湧いてくる。","/mətə́:rnl/","motherly","","9"
"1881","reject","動詞","～を拒否する、拒絶する、受け入れない","It is important to take on the good ideas and reject the bad ones.","良い考えを受け入れて、悪い考えを拒絶することが大事である。","/ridʒékt/","decline, refuse, deny","accept","3"
"1882","pursue","動詞","～を追う、追跡する; ～を続ける、推し進める","The thief was pursued down the street by the two police officers.","泥棒は警官2名により街路上を追い掛けられた。","/pərsjú:/","chase, track, follow","","4"
"1883","appreciation","名詞","評価、理解、鑑賞; 値上がり","They began to clap in appreciation of his performance.","人々は、彼の演奏を称賛して拍手を始めた。","/əprì:ʃiéiʃən/","admiration, respect, gratitude","","5"
"1884","pledge","名詞/動詞","誓い、誓約、約束 / ～を誓う、誓約する","When couples get married, they make a pledge to be together until one of them dies.","カップルが結婚するとき、どちらかが亡くなるまで一緒にいる誓いを立てる。","/plédʒ/","promise","","6"
"1885","guilt","名詞","罪悪感、自責の念、罪の意識","She felt no guilt when cheating on her husband.","彼女は夫を裏切って浮気しても罪悪感がなかった。","/gílt/","regret, remorse, shame, blame","","4"
"1886","float","動詞/名詞","浮く、浮かぶ; 漂う / 浮遊物; 山車","Instead of sinking, the bag actually floated down the river.","袋は沈むことなく、浮いたまま川を流れていった。","/flóut/","drift, hover","","2"
"1887","surpass","動詞","～より勝る、～をしのぐ、超える","She was determined to surpass the achievements of her successful older brother.","彼女は成功している兄の成績を上回ると判断された。","/sərpǽs/","excel, exceed","","7"
"1888","confirm","動詞","～を確認する、確かめる; ～を認める、確信する","The online security check asked to him confirm his password before continuing.","彼はオンラインのセキュリティーチェックによって、次に進む前にパスワードの確認を求められた。","/kənfə́:rm/","verify, validate, approve","disconfirm","3"
"1889","crude","形容詞","粗雑な、下品な、未熟な","Their wedding was the wrong place and time to make a crude joke.","彼らの結婚式で下品なジョークを言うのは場違いだし、タイミングも間違っていた。","/krú:d/","vulgar","","7"
"1890","work out","熟語","～を見つける、解決する; (計画など)を練る","Management failed to work out a coherent strategy for increasing sales.","経営陣は売上を伸ばすための一貫した戦略を見つけられなかった。","","calculate","","N/A"
"1891","agony","名詞","苦痛、苦悶(くもん)","The knife wound caused him to scream in agony.","ナイフの傷で彼は苦痛の悲鳴を上げた。","/ǽgəni/","distress, pain, ordeal","","5"
"1892","remove","動詞","～を取り去る、連れ去る; ～を取り除く","The waiter politely asked him to remove his large bag from the table.","ウエーターは、テーブルから大きなかばんをどかすよう彼に丁寧にお願いした。","/rimú:v/","take away","","2"
"1893","addiction","名詞","常用、常習、中毒、依存","She tried nicotine patches to help fight her addiction to smoking.","彼女は喫煙への依存と闘うためにニコチンバッチを試した。","/ədíkʃən/","dependence, habit","","8"
"1894","direct","形容詞/動詞","直接の、直通の / ～を指揮する、指導する、監督する","There is a direct flight from London to New York every day.","ロンドンからニューヨークまでの飛行機は毎日直行便がある。","/dirékt, dairékt/","straight","indirect","2"
"1895","rivalry","名詞","競争、対抗、争い","The rivalry between Manchester United and Manchester City is stronger than ever.","マンチェスター・ユナイテッドとマンチェスター・シティーの競い合いは、かつてない激しさを見せている。","/ráivəlri/","competition","","8"
"1896","request","動詞/名詞","～を頼む、要請する / 依頼、要望","The company requested that all employees wear a suit.","その会社は従業員全員にスーツの着用を要請した。","/rikwést/","ask, claim","","2"
"1897","succeed","動詞","成就する、成功する、うまくいく","If you work hard and stick to your goal, you will succeed.","一生懸命取り組んで目標を見失わなければ成功する。","/səksí:d/","inherit","","2"
"1898","overcome","動詞","～を克服する; ～を打ち負かす; ～を圧倒する","Success grows out of struggles to overcome difficulties.","成功とは困難に打ち勝とうとあがく中から生まれ出るものだ。","/òuvəkʌ́m/","beat, conquer, defeat","","4"
"1899","hang","動詞","つり下がる、垂れ下がる; 首をつって殺される","The ape decided to hang from the tree and watch the man below.","その猿は木にぶら下がって、下にいる男を観察することにした。","/hǽŋ/","dangle, suspend, hover","","2"
"1900","evoke","動詞","(記憶など)を呼び起こす、喚起する","The smell of the sweet shop evoked a strong memory of her childhood.","菓子屋から漂う匂いは彼女に幼少期の記憶を強く呼び起こさせた。","/ivóuk/","elicit, inspire","","9"
"1901","converse","動詞","会話をする、談話する","He was so happy to converse with another person after travelling alone for so long.","独りきりでの長旅の末に人とおしゃべりすることができ、彼はとてもうれしかった。","/kənvə́:rs/","","","9"
"1902","pedestrian","名詞/形容詞","歩行者 / 歩行者の、歩行者用の","The area is open only to pedestrians.","この場所は歩行者だけに開放されている。","/pədéstriən/","walker","","7"
"1903","catastrophe","名詞","大災害、大惨事; 災難、不幸","If a large enough meteor hit the earth, it would be a catastrophe for humanity.","地球に大きな隕石(いんせき)が衝突したら、人類にとって大惨事となるであろう。","/kətǽstrəfi/","disaster","","7"
"1904","adequate","形容詞","十分な、適当な、適切な","Their performance was adequate but needed to be improved.","彼らの成績はまずまずであったが、改善する必要がある。","/ǽdikwət/","decent, acceptable, appropriate, sufficient","","6"
"1905","punish","動詞","～を罰する、懲らしめる; ～を罰する、処罰する","The mother punished her child after discovering he had lied to her.","うそをつかれたと分かって、母親は子どもに罰を与えた。","/pʌ́niʃ/","penalize","","2"
"1906","core","名詞","中心部、核心、芯","The financial crisis is at the core of the matter.","財政危機が問題の根底にある。","/kɔ́:/","heart, soul, centre","","5"
"1907","intensity","名詞","(感情などの)激しさ、強烈さ、真剣さ","The intensity of the pain increased, so he contacted his doctor.","痛みが激しさを増したため、彼は医者に連絡を取った。","/inténsəti/","aggressiveness, severity","","6"
"1908","unconditional","形容詞","無制限の、無条件の、絶対的な","Mothers have unconditional love for their children.","母親は自分の子どもに無条件の愛を注ぐ。","/ʌ̀nkəndíʃənl/","absolute, unadulterated","conditional","8"
"1909","supervise","動詞","～を監督する、管理する、指揮する","A lot of school staff are expected to supervise students during lunch time.","学校職員の多くは、昼食時に生徒を監視することになっている。","/sú:pərvàiz/","oversee, manage","","7"
"1910","earnings","名詞","収益、もうけ","The shop's earnings were increasing due to the increase in customers.","客数が増えたことで、この店の利益は増加していた。","/ə́:rniŋz/","profit","","5"
