"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"1343","experiment","名詞","実験","The scientist conducted an experiment.","科学者は実験を行った。","","","",""
"1344","consideration","名詞","考慮","Take everything into consideration before deciding.","決定する前にすべてを考慮に入れてください。","","","",""
"1345","strange","形容詞","奇妙な","It was a strange coincidence.","それは奇妙な偶然だった。","","","",""
"1346","code","名詞","コード","The code needs to be debugged.","コードはデバッグする必要があります。","","","",""
"1347","possibly","副詞","おそらく","Could you possibly help me with this?","これを手伝ってもらえますか？","","","",""
"1348","threat","名詞","脅威","The looming storm was a threat to the village.","迫る嵐は村にとって脅威だった。","","","",""
"1349","accident","名詞","事故","There was an accident on the highway.","高速道路で事故があった。","","","",""
"1350","impossible","形容詞","不可能","Nothing is impossible with determination.","決意さえあれば、何も不可能ではない。","","","",""
"1351","revenue","名詞","収益","The company reported increased revenue this year.","その会社は今年、増収を報告した。","","","",""
"1352","enable","動詞","有効にする","Technology enables efficient work.","技術により効率的な作業が可能になる。","","","",""
"1353","afraid","形容詞","恐れている","I’m afraid I can’t make it to the meeting.","残念ながら、その会議には参加できません。","","","",""
"1354","active","形容詞","アクティブ","She’s always active and energetic.","彼女はいつも活動的で元気だ。","","","",""
"1355","conclude","動詞","結論する","To conclude, the event was a success.","結論として、そのイベントは成功だった。","","","",""
"1356","religious","形容詞","宗教的","The temple is a religious site.","その寺院は宗教的な場所です。","","","",""
"1357","cancer","名詞","癌","Research on cancer treatment is ongoing.","がん治療の研究は続いている。","","","",""
"1358","convince","動詞","納得させる","It’s hard to convince him once he’s made up his mind.","彼が決意すると、彼を説得するのは難しい。","","","",""
"1359","vary","動詞","変化する","Prices vary based on demand.","価格は需要に基づいて変動する。","","","",""
"1360","environmental","形容詞","環境","We should protect our environment.","私たちは環境を守るべきだ。","","","",""
"1361","sun","名詞","太陽","The sun shines brightly in the sky.","太陽は空で明るく輝いている。","","","",""
"1362","healthy","形容詞","健康","A balanced diet is essential for a healthy body.","健康な体のためには、バランスの取れた食事が必要です。","","","",""
"1363","blow","名詞/動詞","吹く","The wind blew the leaves away.","風が葉を吹き飛ばした。","","","",""
"1364","volume","名詞","音量","The volume of the music was too loud.","音楽の音量が大きすぎた。","","","",""
"1365","location","名詞","位置","The location is perfect for a picnic.","その場所はピクニックに最適だ。","","","",""
"1366","invest","動詞","投資する","It’s wise to invest in your future.","未来に投資するのは賢明だ。","","","",""
"1367","proceed","動詞","進む","Please proceed to the next step.","次のステップに進んでください。","","","",""
"1368","wash","動詞","洗う","Wash your hands frequently.","こまめに手を洗ってください。","","","",""
"1369","actor","名詞","俳優","The actor delivered a stellar performance.","その俳優は素晴らしい演技を見せた。","","","",""
"1370","glad","形容詞","嬉しい","I’m glad you came.","きてくれて嬉しいです。","","","",""
"1371","tape","名詞","テープ","Use the tape to seal the box.","テープを使って箱を封をする。","","","",""
"1372","whereas","接続詞","一方","He loves coffee, whereas I prefer tea.","彼はコーヒーが好きですが、私はお茶の方が好きです。","","","",""
"1373","opposite","形容詞/名詞","反対","The bank is opposite the supermarket.","銀行はスーパーマーケットの向かいにあります。","","","",""
"1374","stone","名詞","石","The stone was carved intricately.","石は緻密に彫られていた。","","","",""
"1375","sum","名詞","和","The sum of all efforts led to success.","すべての努力の合計が成功につながった。","","","",""
"1376","murder","名詞/動詞","殺人","The detective solved the murder case.","探偵は殺人事件を解決した。","","","",""
"1377","monitor","名詞/動詞","モニター","Monitor the progress regularly.","進捗を定期的にモニタリングしてください。","","","",""
"1378","soldier","名詞","兵士","The soldier defended the country bravely.","兵士は勇敢に国を守った。","","","",""
"1379","finance","名詞/動詞","ファイナンス","Finance management is crucial.","財務管理は極めて重要です。","","","",""
"1380","hate","名詞/動詞","嫌い","Hate is a strong emotion.","憎しみは強い感情だ。","","","",""
"1381","egg","名詞","卵","I’ll have an egg for breakfast.","朝食には卵を食べるつもりだ。","","","",""
"1382","concert","名詞","コンサート","The concert was a huge hit.","そのコンサートは大ヒットだった。","","","",""
"1383","shock","名詞/動詞","ショック","The news came as a shock.","そのニュースは驚きとして伝わった。","","","",""
"1384","comfortable","形容詞","快適","The chair was comfortable.","その椅子は快適だった。","","","",""
"1385","usual","形容詞","いつもの","It’s not the usual way of doing things.","それは物事をする通常の方法ではない。","","","",""
"1386","carefully","副詞","気をつけて","Handle the vase carefully.","花瓶を慎重に取り扱ってください。","","","",""
"1387","pack","名詞/動詞","パック","I need to pack for my trip.","旅行のために荷造りをしなければならない。","","","",""
"1388","recall","動詞","想起","I can’t recall where I kept the keys.","鍵をどこに置いたのか思い出せない。","","","",""
"1389","wine","名詞","ワイン","A glass of wine was served.","ワインが一杯出された。","","","",""
"1390","camera","名詞","カメラ","The camera captured beautiful moments.","カメラは美しい瞬間を捉えた。","","","",""
"1391","swim","動詞","泳ぐ","Let’s swim in the ocean.","海で泳ごう。","","","",""
"1392","manufacture","動詞/名詞","製造","The company manufactures electronics.","その会社は電子機器を製造している。","","","",""
"1393","theater","名詞","劇場","The theater was packed.","劇場は満員だった。","","","",""
"1394","cycle","名詞","サイクル","Cycling is good for health.","サイクリングは健康に良い。","","","",""
"1395","coffee","名詞","コーヒー","A cup of coffee kickstarts my day.","コーヒー一杯で私の一日が始まる。","","","",""
"1396","totally","副詞","完全に","I’m totally in favor of this idea.","私は完全にこの考えを支持しています。","","","",""
"1397","museum","名詞","博物館","The museum houses ancient artifacts.","その博物館には古代の工芸品が展示されている。","","","",""
"1398","visitor","名詞","ビジター","The visitor was from a foreign land.","訪問者は外国から来た。","","","",""
"1399","freedom","名詞","自由","Freedom is a fundamental right.","自由は基本的な権利だ。","","","",""
"1400","construction","名詞","工事","The construction of the new bridge will start next month.","新しい橋の建設は来月開始される。","","","",""
"1401","dear","形容詞/感動詞","親愛なる","My dear friend, it’s been too long.","親愛なる友よ、長い間会っていないね。","","","",""
"1402","objective","名詞","客観的","The main objective is to complete the project on time.","主な目的は、プロジェクトを時間通りに完了させることだ。","","","",""
"1403","moreover","接続詞","さらに","The house is beautiful; moreover, it’s in a great location.","その家は美しい。さらに、素晴らしい場所にある。","","","",""
"1404","onto","前置詞","に","Place the books onto the shelf.","本を棚に置いてください。","","","",""
"1405","historical","形容詞","歴史的","The museum showcases historical artifacts.","その博物館では歴史的な遺物が展示されている。","","","",""
"1406","oppose","動詞","反対します","Many oppose the new policy.","多くの人々が新しい政策に反対している。","","","",""
"1407","branch","名詞","支店","The branch of the tree provides shade.","木の枝が日陰を提供している。","","","",""
"1408","vehicle","名詞","車両","The vehicle broke down midway.","車は途中で故障した。","","","",""
"1409","scientist","名詞","科学者","The scientist made a groundbreaking discovery.","科学者は画期的な発見をした。","","","",""
"1410","route","名詞","ルート","The route is scenic and beautiful.","そのルートは風光明媚で美しい。","","","",""
"1411","bind","動詞","練る","Bind the pages together.","ページをまとめて綴じてください。","","","",""
"1412","belong","動詞","属する","These artifacts belong in a museum.","これらの遺物は博物館に所属している。","","","",""
"1413","taste","名詞/動詞","味","The cake has a rich chocolate taste.","そのケーキはリッチなチョコレートの味がする。","","","",""
"1414","tonight","副詞","今夜","We are going out for dinner tonight.","今夜、夕食に出かける予定だ。","","","",""
"1415","fashion","名詞","ファッション","She has a keen sense of fashion.","彼女は鋭いファッションセンスを持っている。","","","",""
"1416","danger","名詞","危険","There’s a danger in venturing out alone at night.","夜一人で外出するのは危険だ。","","","",""
"1417","bomb","名詞","爆弾","The bomb squad safely disposed of the device.","爆発物処理班はその装置を安全に処分した。","","","",""
"1418","army","名詞","軍","The army is tasked with defending the nation.","軍は国を守るという任務を持っている。","","","",""
"1419","dangerous","形容詞","危険な","Climbing without equipment is dangerous.","装備なしでの登山は危険だ。","","","",""
"1420","decrease","名詞/動詞","減少","The demand has seen a steady decrease.","需要は着実に減少してきた。","","","",""
"1421","hurt","動詞","傷つく","Be careful not to hurt anyone’s feelings.","誰の気持ちも傷つけないように気をつけてください。","","","",""
"1422","council","名詞","評議会","The council will decide on the matter.","評議会がその問題について決定する。","","","",""
"1423","editor","名詞","編集者","The editor corrected the errors in the manuscript.","編集者は原稿の誤りを訂正した。","","","",""
"1424","normally","副詞","通常は","Normally, the park is crowded on weekends.","通常、公園は週末に混雑している。","","","",""
"1425","sight","名詞","視力","The sight of the sunset was breathtaking.","日没の光景は息をのむほどだった。","","","",""
"1426","generate","動詞","生成する","The project will generate a lot of revenue.","そのプロジェクトは多くの収益を生むだろう。","","","",""
"1427","gift","名詞","贈り物","The gift was wrapped beautifully.","そのプレゼントは美しく包まれていた。","","","",""
"1428","delivery","名詞","配達","The delivery will arrive by tomorrow.","配達は明日までに到着します。","","","",""
"1429","deny","動詞","拒否","You cannot deny the truth.","あなたは真実を否定することはできません。","","","",""
"1430","guest","名詞","ゲスト","We have a guest coming over for dinner.","私たちは夕食にゲストが来る予定です。","","","",""
"1431","anybody","代名詞","誰でも","Can anybody answer the question?","誰かその質問に答えることができますか？","","","",""
"1432","bedroom","名詞","寝室","The bedroom was cozy and well-lit.","it. – 寝室は居心地が良く、明るく照らされていました。","","","",""
"1433","quote","動詞/名詞","引用","The quote is from a famous poet.","その引用は有名な詩人のものだ。","","","",""
"1434","climb","動詞","登る","He wants to climb the highest mountain.","彼は最も高い山を登りたいと思っている。","","","",""
"1435","basically","副詞","基本的に","Basically, the idea is to promote sustainable living.","基本的には、持続可能な生活を促進するという考えです。","","","",""
"1436","violence","名詞","暴力","Violence is never the solution.","暴力は決して解決策ではない。","","","",""
"1437","minister","名詞","大臣","The minister addressed the concerns.","大臣は懸念事項に対応した。","","","",""
"1438","mainly","副詞","主に","The shop sells mainly artisanal products.","その店では主に職人の製品を販売している。","","","",""
"1439","mouth","名詞","口","Rinse your mouth after eating.","食事の後に口をすすぐ。","","","",""
"1440","noise","名詞","ノイズ","The noise outside was distracting.","外の騒音は気を散らすものだった。","","","",""
"1441","manner","名詞","マナー","His manner of speaking was captivating.","彼の話し方は魅力的だった。","","","",""
"1442","gun","名詞","銃","Hunting with a gun is prohibited in the reserve.","保護区内での銃を使った狩猟は禁止されている。","","","",""
"1443","square","名詞/形容詞","四角","The town square was bustling with activity.","町の広場は活気に満ちていた。","","","",""
"1444","occasion","名詞","機会","The event was a grand occasion.","そのイベントは盛大な場であった。","","","",""
"1445","familiar","形容詞","おなじみ","The place felt familiar.","その場所は懐かしく感じられた。","","","",""
"1446","ignore","動詞","無視する","It’s not good to ignore your responsibilities.","自分の責任を無視するのはよくない。","","","",""
"1447","destroy","動詞","破壊する","Wildfires can destroy vast areas of forest.","山火事は広大な森林を破壊することができる。","","","",""
"1448","affair","名詞","事件、出来事","The matter was a private affair.","その件は私事であった。","","","",""
"1449","civil","形容詞","市民","We must always be civil in our interactions.","我々は常に交流の中で礼儀正しくあるべきだ。","","","",""
"1450","locate","動詞","見つけます","Can you locate the place on the map?","その場所を地図上で特定できますか？","","","",""
"1451","citizen","名詞","市民","Every citizen has certain rights and responsibilities.","すべての市民には一定の権利と責任がある。","","","",""
"1452","temperature","名詞","温度","The temperature dropped suddenly.","温度が急に下がった。","","","",""
"1453","gold","名詞","金","The necklace was made of pure gold.","そのネックレスは純金で作られていた。","","","",""
"1454","domestic","形容詞","国内","Domestic chores kept her busy.","家事で彼女は忙しくしていた。","","","",""
"1455","load","名詞/動詞","負荷","The truck was carrying a heavy load.","トラックは重い荷物を運んでいた。","","","",""
"1456","belief","名詞","信念","Respect every individual’s belief.","すべての個人の信念を尊重してください。","","","",""
"1457","troop","名詞","部隊","The troop was ready for the expedition.","その部隊は探検の準備ができていた。","","","",""
"1458","technical","形容詞","テクニカル","The issue seems to be technical in nature.","その問題は技術的な性質のようだ。","","","",""
"1459","remind","動詞","思い出させる","Let me remind you of our agreement.","私たちの合意を思い出させてください。","","","",""
"1460","arrangement","名詞","配置","The floral arrangement was exquisite.","花のアレンジメントは絶品だった。","","","",""
"1461","skin","名詞","肌","Apply sunscreen to protect your skin.","日焼け止めを塗って肌を守ってください。","","","",""
"1462","prison","名詞","刑務所","He was sentenced to ten years in prison.","彼は10年の懲役刑を宣告された。","","","",""
"1463","switch","名詞/動詞","スイッチ","Switch off the lights when not in use.","使用していない時は電気を消してください。","","","",""
"1464","acquire","動詞","取得する","The company wants to acquire the startup.","その会社はスタートアップを買収したいと考えている。","","","",""
"1465","corporate","形容詞","コーポレート","Corporate culture varies from one company to another.","企業文化は会社によって異なる。","","","",""
"1466","fairly","副詞","かなり","The game was played fairly.","ゲームは公正に行われた。","","","",""
"1467","wood","名詞","木材","The cabin was made of wood.","小屋は木で作られていた。","","","",""
"1468","participate","動詞","参加する","I’d love to participate in the workshop.","ワークショップに参加したいです。","","","",""
"1469","tough","形容詞","厳しい","The exam was tough, but I managed.","試験は難しかったが、何とか乗り越えた。","","","",""
"1470","tear","名詞/動詞","破れ目","A tear rolled down her cheek.","彼女の頬を涙が伝った。","","","",""
"1471","representative","名詞","代表","The representative explained the terms.","代表者が条件を説明した。","","","",""
"1472","capacity","名詞","容量","The stadium was filled to capacity.","スタジアムは満員だった。","","","",""
"1473","border","名詞","国境","We crossed the border at dawn.","私たちは夜明けに国境を越えた。","","","",""
"1474","shake","動詞","振る","Shake the bottle before use.","使用前にボトルを振ってください。","","","",""
"1475","assessment","名詞","評価","The teacher gave an assessment to the students.","教師は生徒たちに評価を与えた。","","","",""
"1476","shoe","名詞","靴","The shoe fits perfectly.","靴はぴったり合っている。","","","",""
"1477","ought","助動詞","すべきです","We ought to respect our elders.","我々は年長者を尊敬すべきだ。","","","",""
"1478","ad","名詞","広告","The ad was catchy and memorable.","その広告はキャッチーで印象的だった。","","","",""
"1479","fee","名詞","手数料","The entry fee for the park is nominal.","公園の入場料は名目上のものである。","","","",""
"1480","hall","名詞","ホール","The hall was decorated for the event.","ホールはイベントのために装飾されていた。","","","",""
"1481","regulation","名詞","規制","There are regulations in place for safety.","安全のための規制がある。","","","",""
"1482","escape","動詞","逃げる","The bird managed to escape the cage.","その鳥はかごから逃げることに成功した。","","","",""
"1483","studio","名詞","スタジオ","The artist worked in his studio.","アーティストは彼のスタジオで働いた。","","","",""
"1484","proper","形容詞","ちゃんとした","Proper planning is essential.","適切な計画が不可欠である。","","","",""
"1485","relax","動詞","リラックス","It’s the weekend; time to relax.","週末です；リラックスする時間です。","","","",""
"1486","tourist","名詞","観光客","The city is a popular tourist destination.","その都市は人気の観光地です。","","","",""
"1487","component","名詞","成分","Each component is essential for the device.","各部品はそのデバイスにとって必要不可欠である。","","","",""
"1488","afford","動詞","余裕ある","I can’t afford the luxury car.","私は高級車を手に入れる余裕がない。","","","",""
"1489","lawyer","名詞","弁護士","The lawyer presented the case well.","弁護士はその事件を上手く提示した。","","","",""
"1490","suspect","名詞/動詞","容疑者","The detective had a prime suspect.","探偵は主要な容疑者を持っていた。","","","",""
"1491","cup","名詞","カップ","A cup of tea refreshes me.","一杯のお茶で私はさっぱりする。","","","",""
"1492","description","名詞","説明","The description was vivid and detailed.","説明は鮮明で詳しかった。","","","",""
"1493","confidence","名詞","自信","Confidence is key to success.","自信は成功の鍵である。","","","",""
"1494","industrial","形容詞","産業","The industrial area was buzzing with activity.","工業地域は活気に満ちていた。","","","",""
"1495","complain","動詞","不平をいう","Customers often complain about poor service.","顧客はよくサービスが悪いと不平を言う。","","","",""
"1496","perspective","名詞","視点","It’s essential to understand others’ perspectives.","他人の視点を理解することは必要不可欠である。","","","",""
"1497","error","名詞","エラー","The error was rectified promptly.","エラーは迅速に修正された。","","","",""
"1498","arrest","名詞/動詞","逮捕","The police made several arrests.","警察はいくつかの逮捕を行った。","","","",""
"1499","assess","動詞","評価","It’s essential to assess the risks before proceeding.","進める前にリスクを評価することが必要です。","","","",""
"1500","register","動詞","登録する","Please register for the event in advance.","イベントには事前に登録してください。","","","",""
"1501","asset","名詞","資産","His experience is a significant asset to the company.","彼の経験は、会社にとって大きな資産です。","","","",""
"1502","signal","名詞","信号","Wait for the green signal before you cross.","渡る前に緑の信号を待ってください。","","","",""
"1503","finger","名詞","指","Don’t point your finger at others.","他人を指差してはいけません。","","","",""
"1504","relevant","形容詞","関連する","Make sure your comments are relevant to the topic.","あなたのコメントがトピックに関連していることを確認してください。","","","",""
"1505","explore","動詞","探検する","Let’s explore the city together.","一緒に都市を探機しましょう。","","","",""
"1506","leadership","名詞","リーダーシップ","Her leadership skills are commendable.","彼女のリーダーシップスキルは称賛に値します。","","","",""
"1507","commitment","名詞","献身","He shows great commitment to his work.","彼は彼の仕事に大きな献身を見せています。","","","",""
"1508","wake","動詞","目を覚ます","I wake up early every morning.","私は毎朝早起きします。","","","",""
"1509","necessarily","副詞","必然的に","It’s not necessarily the best approach.","それが最善の方法であるとは限りません。","","","",""
"1510","bright","形容詞","明るい","The future looks bright for her.","彼女の未来は明るいようです。","","","",""
"1511","frame","名詞","フレーム","The picture frame enhances the photo’s beauty.","額縁は写真の美しさを引き立てます。","","","",""
"1512","slowly","副詞","ゆっくり","Drive slowly in the school zone.","学校の区域ではゆっくりと運転してください。","","","",""
"1513","bond","動詞/名詞","つなぐ","The bond between them is unbreakable.","彼らの絆は壊れない。","","","",""
"1514","hire","動詞","雇う","They plan to hire new employees next month.","彼らは来月、新しい従業員を雇う予定です。","","","",""
"1515","hole","名詞","穴","There’s a hole in my sock.","私の靴下には穴がある。","","","",""
"1516","tie","名詞/動詞","ネクタイ","He wore a blue tie to the meeting.","彼は会議に青いネクタイを着けてきました。","","","",""
"1517","internal","形容詞","内部","This is an internal company matter.","これは会社の内部の問題です。","","","",""
"1518","chain","名詞","鎖","She wore a silver chain around her neck.","彼女は首に銀のチェーンをつけていました。","","","",""
"1519","literature","名詞","文学","Literature reflects society and its values.","文学は社会とその価値を反映しています。","","","",""
"1520","victim","名詞","被害者","The victim was taken to the hospital.","被害者は病院に運ばれました。","","","",""
"1521","threaten","動詞","脅かす","Don’t threaten me with consequences.","結果をもって私を脅迫しないでください。","","","",""
"1522","division","名詞","分割","The division of labor increased efficiency.","労働の分担は効率を向上させました。","","","",""
"1523","secure","形容詞","安全な","Make sure the door is secure before leaving.","出発する前にドアがしっかり閉まっていることを確認してください。","","","",""
"1524","amaze","動詞","驚いた","The magician’s tricks never cease to amaze.","魔法使いのトリックは常に驚かせるものです。","","","",""
"1525","device","名詞","デバイス","The device has made our lives easier.","そのデバイスは私たちの生活を楽にしてくれました。","","","",""
"1526","birth","名詞","誕生","The birth of a child is a joyous occasion.","子供の誕生は喜びの機会です。","","","",""
"1527","forest","名詞","森","We went hiking in the dense forest.","私たちは密林でハイキングに行きました。","","","",""
"1528","label","名詞","ラベル","Read the label before using the product.","製品を使用する前にラベルを読んでください。","","","",""
"1529","root","名詞","根","The root of the problem must be addressed.","問題の根本原因に対処しなければなりません。","","","",""
"1530","factory","名詞","工場","The factory produces thousands of units daily.","工場は毎日数千のユニットを生産します。","","","",""
"1531","expense","名詞","費用","Traveling often comes with added expense.","旅行はしばしば追加の費用がかかります。","","","",""
"1532","channel","名詞","チャネル","The channel broadcasts news 24/7.","そのチャンネルは24/7ニュースを放送しています。","","","",""
"1533","investigate","動詞","調査する","The detective will investigate the matter.","探偵がその問題を調査します。","","","",""
"1534","recommendation","名詞","おすすめ","Do you have a recommendation for a good book?","良い本のおすすめはありますか？","","","",""
"1535","rank","名詞","ランク","She holds a high rank in the army.","彼女は軍で高い地位を持っています。","","","",""
"1536","typical","形容詞","典型的な","This is a typical example of a Renaissance painting.","これはルネサンス絵画の典型的な例です。","","","",""
"1537","west","名詞","西","The sun sets in the west.","太陽は西に沈む。","","","",""
"1538","friendly","形容詞","フレンドリー","The locals are friendly and welcoming.","地元の人々は友好的で歓迎的です。","","","",""
"1539","resident","名詞","居住者","The resident doctor attended to the patient.","居住医が患者の治療を行いました。","","","",""
"1540","provision","名詞","規定","The contract has a provision for early termination.","契約には早期終了の条項があります。","","","",""
"1541","concentrate","動詞","集中","It’s hard to concentrate with so much noise.","そんなに騒音があると集中しにくい。","","","",""
"1542","plenty","名詞","多くの","There’s plenty of food for everyone.","みんなのための食べ物はたくさんあります。","","","",""
"1543","export","動詞/名詞","輸出","The country exports many goods overseas.","その国は多くの商品を海外に輸出しています。","","","",""
"1544","entirely","副詞","全体的に","The story is entirely fictional.","その話は完全にフィクションです。","","","",""
"1545","strongly","副詞","強く","I strongly disagree with his viewpoint.","彼の見解には強く反対です。","","","",""
"1546","bridge","名詞","橋","The bridge connects the two cities.","その橋は二つの都市を結んでいます。","","","",""
"1547","consist","動詞","構成","The meal consists of three courses.","その食事は3つのコースから成り立っています。","","","",""
"1548","graduate","動詞/名詞","卒業","She will graduate from university next year.","彼女は来年、大学を卒業します。","","","",""
"1549","brand","名詞","ブランド","It’s a well-known brand worldwide.","nown brand worldwide. – それは世界中でよく知られたブランドです。","","","",""
"1550","moral","形容詞","道徳の","The story teaches a moral lesson.","その話は道徳的な教訓を教えてくれます。","","","",""
"1551","insist","動詞","主張する","She insists on paying for dinner.","彼女は夕食の支払いを主張しています。","","","",""
"1552","combination","名詞","組み合わせ","The combination of flavors is delightful.","味の組み合わせは楽しいです。","","","",""
"1553","abuse","動詞/名詞","乱用","Substance abuse is a serious issue.","薬物乱用は深刻な問題です。","","","",""
"1554","ice","名詞","氷","I’d like some ice in my drink.","私のドリンクに氷を入れてほしい。","","","",""
"1555","principal","名詞","主要","The principal addressed the students in the morning assembly.","校長は朝の集会で生徒たちに話しかけました。","","","",""
"1556","master","名詞","マスター","He is a master of his craft.","彼は彼の技術の達人です。","","","",""
"1557","definitely","副詞","絶対に","I will definitely attend the event.","私は確実にそのイベントに参加します。","","","",""
"1558","session","名詞","セッション","The therapy session lasted an hour.","セラピーのセッションは1時間続きました。","","","",""
"1559","grade","名詞","学年","She got the highest grade in the class.","彼女はクラスで最高の成績を受け取りました。","","","",""
"1560","nevertheless","接続詞","それにもかかわらず","It was raining; nevertheless, they played the match.","雨が降っていたが、それにも関わらず彼らは試合を行いました。","","","",""
"1561","predict","動詞","予測する","It’s hard to predict the weather.","天気を予測するのは難しい。","","","",""
"1562","previously","副詞","以前","As previously mentioned, the meeting is postponed.","前述の通り、会議は延期されました。","","","",""
"1563","protection","名詞","保護","The equipment offers protection against injury.","その機器はけがからの保護を提供します。","","","",""
"1564","largely","副詞","主に","The project was largely successful.","プロジェクトは大いに成功しました。","","","",""
"1565","wed","動詞","結婚した","They decided to wed next summer.","彼らは来夏結婚することを決めました。","","","",""
"1566","rent","名詞/動詞","家賃","They rent an apartment downtown.","彼らはダウンタウンのアパートを借りています。","","","",""
"1567","shot","名詞","ショット","The photographer took a perfect shot.","写真家は完璧なショットを撮りました。","","","",""
"1568","appearance","名詞","外観","Appearance can be deceptive.","外見は騙されやすい。","","","",""
"1569","reasonable","形容詞","合理的","The price is quite reasonable.","価格はかなり妥当です。","","","",""
"1570","guarantee","動詞/名詞","保証","The product comes with a one-year guarantee.","ear guarantee. – その製品には1年間の保証がついています。","","","",""
"1571","till","前置詞","till","Wait here till I return.","私が戻るまでここで待ってください。","","","",""
"1572","theme","名詞","テーマ","The theme of the party is retro.","パーティのテーマはレトロです。","","","",""
"1573","judgment","名詞","判定","Trust your judgment.","あなたの判断を信じてください。","","","",""
"1574","odd","形容詞","奇数","The odd numbers are 1, 3, 5, and so on.","奇数は1、3、5などです。","","","",""
"1575","approve","動詞","承認する","The manager needs to approve the proposal.","マネージャーは提案を承認する必要があります。","","","",""
"1576","loan","名詞","ローン","They took a loan to buy the house.","彼らは家を買うためのローンを組みました。","","","",""
"1577","definition","名詞","意味","The definition is given in the dictionary.","定義は辞書に与えられています。","","","",""
"1578","elect","動詞","選出","The citizens will elect a new president.","市民は新しい大統領を選出します。","","","",""
"1579","atmosphere","名詞","雰囲気","The atmosphere on Mars is different from Earth’s.","火星の大気は地球のものとは異なります。","","","",""
"1580","farmer","名詞","農家","The farmer works hard in the fields.","農民は畑で一生懸命働いています。","","","",""
"1581","comparison","名詞","比較","The comparison between the two is stark.","二つの比較ははっきりしています。","","","",""
"1582","characteristic","名詞","特性","One characteristic of a leader is decisiveness.","リーダーの特性の一つは決断力です。","","","",""
"1583","license","名詞","ライセンス","You need a license to drive.","運転するには免許が必要です。","","","",""
"1584","rely","動詞","頼る","I rely on my alarm to wake up on time.","私は時間通りに起きるためにアラームに頼っています。","","","",""
"1585","narrow","形容詞","狭い","The narrow alley led to the main road.","狭い路地が大通りに続いていました。","","","",""
"1586","succeed","動詞","成功する","Hard work is essential to succeed.","成功するためには一生懸命の努力が必要です。","","","",""
"1587","identity","名詞","身元","Protect your identity online.","オンラインでのあなたの身元を守ってください。","","","",""
"1588","desk","名詞","机","The desk was cluttered with papers.","机は書類で散らかっていました。","","","",""
"1589","permit","動詞","許可する","The permit allows construction in the area.","この許可証はそのエリアでの建設を許可しています。","","","",""
"1590","seriously","副詞","真剣に","Take your health seriously.","あなたの健康を真剣に考えてください。","","","",""
"1591","wild","形容詞","野生","The wild flowers bloomed beautifully.","野生の花は美しく咲きました。","","","",""
"1592","empty","形容詞","空の","The glass was empty.","グラスは空でした。","","","",""
"1593","commission","名詞","手数料","He earned a commission on each sale.","彼は各販売に対して手数料を得ました。","","","",""
"1594","unique","形容詞","個性的","Everyone has a unique talent.","すべての人にはユニークな才能があります。","","","",""
"1595","association","名詞","協会","The association held its annual meeting.","その協会は年次総会を開催しました。","","","",""
"1596","instrument","名詞","楽器","The violin is a beautiful instrument.","バイオリンは美しい楽器です。","","","",""
"1597","investor","名詞","投資家","The investor was keen on the new startup.","投資家は新しいスタートアップに熱心でした。","","","",""
"1598","practical","形容詞","実用的","A practical approach is often the best.","実用的なアプローチがよく最善です。","","","",""
"1599","tea","名詞","お茶","Would you like some tea?","お茶はいかがですか？","","","",""
"1600","lovely","形容詞","素敵な","The garden looked lovely in the morning light.","朝の光の中で庭は美しく見えました。","","","",""
"1601","soft","形容詞","柔らかい","The pillow was soft and comfortable.","枕は柔らかくて快適でした。","","","",""
"1602","row","名詞","行","We had a row over something trivial.","私たちはささいなことで口論しました。","","","",""
"1603","youth","名詞","若者","Youth is the future of our nation.","若者は私たちの国の未来です。","","","",""
"1604","lock","動詞/名詞","ロック","Always lock the door before leaving.","出る前に必ずドアを鍵をかけてください。","","","",""
"1605","fuel","名詞","燃料","The car ran out of fuel on the highway.","車は高速道路で燃料が切れました。","","","",""
"1606","expectation","名詞","期待","The movie exceeded all my expectations.","その映画は私の全ての期待を超えました。","","","",""
"1607","employment","名詞","雇用","Employment opportunities have increased in the city.","都市では雇用の機会が増加しています。","","","",""
"1608","celebrate","動詞","祝う","Let’s celebrate your achievements.","あなたの達成を祝いましょう。","","","",""
"1609","sexual","形容詞","性的","Sexual harassment is a grave offense.","性的嫌がらせは重大な違反です。","","","",""
"1610","shoulder","名詞","ショルダー","He carried the bag on his shoulder.","彼は肩にバッグをかけていました。","","","",""
"1611","breath","名詞","呼吸","Take a deep breath before diving.","飛び込む前に深呼吸してください。","","","",""
"1612","increasingly","副詞","ますます","It’s becoming increasingly difficult to find affordable housing.","手頃な価格の住宅を見つけるのがますます難しくなっています。","","","",""
"1613","import","動詞/名詞","輸入","The country imports most of its electronics.","その国は電子製品の大部分を輸入しています。","","","",""
"1614","bottle","名詞","ボトル","He drank a bottle of water after the workout.","彼は運動の後に水のボトルを飲みました。","","","",""
"1615","ourselves","代名詞","私たち自身","We should trust ourselves more.","もっと自分自身を信じるべきです。","","","",""
"1616","sheet","名詞","シート","I need a sheet of paper to write on.","書くための紙が必要です。","","","",""
"1617","engine","名詞","エンジン","The engine needs some repairs.","エンジンはいくつかの修理が必要です。","","","",""
"1618","cast","動詞/名詞","キャスト","The cast of the play was outstanding.","その劇のキャストは素晴らしかったです。","","","",""
